연도,지역,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
2021,진주,20.6,8.6,13.9,1.0,3.8,0.0,73.0,12.0
2021,창원,20.0,10.8,14.9,1.4,4.7,0.0,62.5,9.2
2021,천안,18.5,7.3,12.6,1.3,2.9,0.0,75.2,11.2
2021,철원,17.5,5.7,11.3,1.3,3.1,0.0,78.6,11.8
2021,청송군,18.7,5.8,11.6,1.9,2.7,0.0,67.9,12.9
2021,청주,19.4,10.0,14.4,1.4,2.7,0.1,62.5,9.4
2021,추풍령,17.7,7.2,12.3,2.6,3.1,0.0,66.9,10.5
2021,춘천,18.4,7.4,12.4,1.4,2.9,0.0,69.6,11.0
2021,충주,18.4,7.1,12.5,1.4,3.7,0.0,70.3,11.3
2021,태백,15.0,4.8,9.6,1.4,3.3,0.0,69.0,10.2
2021,통영,20.2,12.0,15.7,2.3,4.9,0.0,72.5,8.2
2021,파주,17.9,6.2,11.6,1.4,2.8,0.0,76.1,11.8
2021,포항,19.2,11.6,15.2,2.7,3.9,0.0,64.3,7.6
2021,함양군,19.8,7.4,13.1,1.6,2.8,0.0,66.5,12.4
2021,합천,20.5,8.5,13.9,0.9,3.1,0.0,72.5,12.0
2021,해남,19.7,8.8,14.0,2.1,3.8,0.0,76.3,10.9
2021,홍성,18.7,8.3,13.3,1.4,3.4,0.1,75.0,10.4
2021,홍천,18.2,6.6,11.8,1.1,2.6,0.0,70.1,11.6
2021,흑산도,18.8,12.8,15.3,5.1,2.5,0.1,79.7,6.0
2022,강릉,19.3,10.7,14.8,2.3,4.0,0.0,58.8,8.7
2022,강진군,20.4,9.5,14.5,1.8,2.8,0.0,70.9,10.8
2022,강화,15.9,6.3,11.0,1.9,4.3,0.0,73.3,9.6
2022,거제,19.3,11.0,14.8,1.5,3.5,0.0,66.3,8.2
2022,거창,19.7,6.3,12.6,1.4,1.8,0.0,66.9,13.4
2022,경주시,20.4,8.2,13.9,2.5,2.3,0.0,64.2,12.2
2022,고산(제주),19.4,14.0,16.4,6.6,3.4,0.0,77.4,5.5
2022,고창,19.0,8.5,13.4,2.8,2.1,0.0,69.6,10.5
2022,고창군,19.2,8.4,13.4,1.5,1.8,0.0,71.1,10.8
2022,고흥,19.4,8.8,14.0,1.6,2.5,0.0,69.2,10.5
2022,광양시,20.6,11.0,15.2,2.0,2.9,0.0,62.1,9.7
2022,광주,20.2,10.6,14.9,1.4,2.1,0.2,69.1,9.7
2022,구미,20.0,8.7,13.9,0.9,2.2,0.0,59.8,11.3
2022,군산,17.8,8.7,12.3,2.2,2.9,0.0,71.8,9.2
2022,금산,18.7,6.5,11.6,1.1,2.6,0.0,69.5,12.3
2022,김해시,20.4,10.6,14.9,1.7,2.4,0.0,62.0,9.8
2022,남원,19.2,7.4,12.9,1.6,2.2,0.0,68.8,11.8
2022,남해,19.3,10.3,14.5,1.5,3.7,0.0,65.5,8.9
2022,대관령,13.3,2.3,7.6,3.1,3.7,0.0,70.8,11.0
2022,대구,20.5,9.7,14.8,2.3,1.6,0.0,63.6,10.8
2022,대전,19.4,8.6,13.6,1.9,3.3,0.0,62.3,10.9
2022,동두천,17.9,6.3,11.2,1.2,5.3,0.0,69.9,11.6
2022,동해,17.9,9.9,13.7,2.0,3.0,0.0,63.9,7.9
2022,목포,18.3,11.2,14.4,3.7,2.0,0.1,72.0,7.1
2022,문경,18.3,7.2,12.5,1.7,2.9,0.0,66.4,11.1
2022,밀양,21.1,8.9,14.6,1.1,2.3,0.0,58.5,12.2
2022,백령도,14.8,9.2,11.8,4.3,2.8,0.1,72.5,5.6
2022,보령,17.9,8.9,13.1,1.6,3.7,0.0,70.3,9.0
2022,보성군,19.9,9.3,14.4,3.1,2.9,0.0,69.9,10.6
2022,보은,17.9,6.0,11.7,1.1,2.9,0.0,71.6,11.9
2022,봉화,17.3,5.0,10.8,1.3,2.8,0.0,70.8,12.3
2022,부산,19.8,12.1,15.4,3.2,2.7,0.0,63.7,7.7
2022,부안,18.8,9.1,13.6,1.3,2.7,0.0,73.0,9.7
2022,부여,19.1,7.4,12.8,0.9,3.6,0.0,73.0,11.7
2022,북강릉,17.6,9.0,13.2,1.4,4.2,0.0,62.0,8.6
2022,북창원,20.8,11.0,15.4,1.7,2.7,0.0,62.5,9.8
2022,북춘천,17.6,5.3,10.7,1.2,4.4,0.1,71.5,12.3
2022,산청,19.9,7.9,13.4,1.7,2.7,0.0,66.7,12.1
2022,상주,19.3,8.1,13.3,1.4,2.4,0.0,64.0,11.2
2022,서귀포,20.5,14.5,17.2,1.7,4.3,0.0,73.6,6.0
2022,서산,17.6,7.6,12.4,2.1,4.3,0.0,72.7,10.1
2022,서울,18.1,8.9,13.3,2.4,4.9,0.1,64.5,9.2
2022,서청주,19.5,7.6,13.0,1.8,3.8,0.0,69.6,11.9
2022,성산,19.7,12.9,16.2,3.2,4.3,0.0,72.4,6.9
2022,세종,18.5,8.1,12.4,1.3,3.3,0.0,63.8,10.3
2022,속초,17.2,8.8,12.9,1.9,4.5,0.0,61.8,8.3
2022,수원,18.1,8.2,12.8,1.9,5.1,0.1,68.4,9.9
2022,순창군,19.4,7.6,13.1,1.7,2.4,0.0,71.7,11.9
2022,순천,19.6,7.8,13.2,2.0,2.7,0.0,69.9,11.8
2022,안동,18.8,7.0,12.6,1.6,1.8,0.0,62.2,11.9
2022,양산시,21.3,10.6,15.1,2.2,2.6,0.0,63.4,10.7
2022,양평,17.6,7.1,11.6,1.2,5.9,0.0,68.1,10.5
2022,여수,18.8,12.2,15.2,4.0,2.9,0.0,63.1,6.6
2022,영광군,18.8,8.8,13.5,1.8,2.2,0.0,71.9,10.0
2022,영덕,19.0,8.8,13.5,2.6,2.2,0.0,64.5,10.2
2022,영월,18.4,6.1,11.7,1.0,3.5,0.0,67.1,12.3
2022,영주,17.8,6.2,11.6,2.5,3.0,0.0,67.7,11.6
2022,영천,19.6,7.5,13.3,1.7,1.9,0.0,64.4,12.1
2022,완도,19.9,11.4,14.6,2.2,1.9,0.0,68.7,8.4
2022,울릉도,16.9,11.0,13.6,3.6,3.3,0.4,74.0,5.9
2022,울산,19.6,10.6,14.7,2.1,2.5,0.0,61.4,9.0
2022,울진,18.1,9.1,13.0,2.5,3.0,0.0,64.3,9.0
2022,원주,17.8,7.7,12.5,1.1,3.8,0.0,62.5,10.1
2022,의령군,21.2,7.7,14.0,1.8,2.1,0.0,63.8,13.6
2022,의성,19.8,5.7,12.3,1.1,1.7,0.0,68.6,14.1
2022,이천,18.5,6.6,12.2,1.1,4.2,0.0,70.6,11.8
2022,인제,17.3,5.6,10.9,1.5,4.1,0.0,68.9,11.7
2022,인천,16.4,9.4,12.6,2.9,4.4,0.1,65.8,7.0
2022,임실,18.5,6.5,12.1,1.1,2.6,0.0,72.3,12.0
2022,장수,17.7,5.1,11.1,1.4,2.7,0.0,72.2,12.6
2022,장흥,19.9,8.4,13.9,1.7,2.5,0.0,71.1,11.4
2022,전주,19.5,9.6,14.1,1.6,2.9,0.1,66.1,9.9
2022,정선군,17.6,5.5,10.9,1.5,3.8,0.0,62.8,12.0
2022,정읍,18.7,8.6,13.3,1.7,2.7,0.0,69.2,10.1
2022,제주,20.5,14.2,17.1,3.4,2.9,0.0,71.2,6.4
2022,제천,17.0,4.6,10.2,1.2,4.0,0.0,72.6,12.5
2022,진도군,18.8,9.8,12.9,2.5,2.5,0.0,74.5,9.0
2022,진주,20.2,7.7,13.3,0.9,2.7,0.0,66.1,12.4
2022,창원,19.8,10.5,14.7,1.5,2.9,0.0,58.3,9.3
2022,천안,18.2,6.5,12.1,1.2,3.0,0.0,73.6,11.7
2022,철원,16.8,4.7,10.5,1.3,4.8,0.0,74.2,12.1
2022,청송군,18.9,4.8,11.3,1.8,1.7,0.0,65.0,14.2
2022,청주,19.1,9.5,14.0,1.4,3.4,0.1,59.4,9.6
2022,추풍령,17.7,6.6,12.0,2.6,2.5,0.0,63.4,11.1
2022,춘천,18.2,6.5,11.9,1.4,4.7,0.0,69.6,11.7
2022,충주,18.1,6.3,11.9,1.2,4.0,0.0,68.4,11.9
2022,태백,15.0,3.9,9.1,1.3,3.0,0.0,65.8,11.2
2022,통영,19.8,11.5,14.8,2.4,2.7,0.0,68.6,8.3
2022,파주,17.2,5.1,10.8,1.3,4.7,0.0,75.9,12.1
2022,포항,19.6,11.3,15.1,2.7,2.9,0.0,60.7,8.3
2022,함양군,20.2,7.0,13.2,1.6,2.2,0.0,63.9,13.2
2022,합천,20.6,7.9,13.8,0.9,2.2,0.0,64.5,12.6
2022,해남,19.3,8.4,12.5,2.0,2.2,0.0,74.9,10.9
2022,홍성,18.2,7.6,12.7,1.6,3.8,0.1,73.2,10.6
2022,홍천,17.7,5.8,11.2,1.0,4.7,0.0,68.7,12.0
2022,흑산도,17.4,11.7,13.7,5.5,1.8,0.0,78.9,5.7
2023,강릉,20.0,11.4,15.5,2.2,4.3,0.0,60.0,8.6
2023,강진군,20.7,10.1,15.0,1.6,5.3,0.0,75.7,10.5
2023,강화,16.9,7.7,12.2,1.8,3.8,0.0,75.9,9.2
2023,거제,19.7,11.5,15.4,1.4,7.1,0.0,71.3,8.2
2023,거창,19.6,6.8,12.7,1.3,4.5,0.0,71.6,12.9
2023,경주시,21.0,9.0,13.8,2.4,3.1,0.0,66.4,11.9
2023,고산(제주),19.4,14.2,16.7,5.8,3.8,0.0,75.8,5.2
2023,고창,18.8,8.3,12.5,2.6,3.5,0.0,70.2,10.5
2023,고창군,19.8,9.3,14.2,1.5,4.1,0.0,73.7,10.6
2023,고흥,20.0,9.7,14.6,1.4,4.7,0.0,74.9,10.3
2023,광양시,20.8,11.3,15.6,1.7,6.2,0.0,68.3,9.5
2023,광주,20.5,11.1,15.3,1.2,5.8,0.1,74.0,9.4
2023,구미,20.4,9.3,14.4,0.7,4.9,0.0,64.1,11.1
2023,군산,18.9,9.7,14.0,2.2,5.8,0.0,73.5,9.2
2023,금산,19.4,7.5,13.0,1.0,4.9,0.0,73.1,11.9
2023,김해시,21.1,11.1,15.5,1.6,5.1,0.0,67.9,10.0
2023,남원,20.0,8.6,13.5,1.6,4.9,0.0,71.4,11.3
2023,남해,20.0,11.3,15.3,1.1,7.4,0.0,70.6,8.7
2023,대관령,14.1,3.2,8.6,3.0,3.5,0.0,73.5,10.9
2023,대구,20.8,10.3,15.2,2.1,3.6,0.0,63.2,10.5
2023,대전,19.8,9.2,14.1,1.5,5.6,0.0,64.5,10.7
2023,동두천,18.5,7.4,12.2,1.1,3.9,0.0,71.7,11.1
2023,동해,18.5,10.6,14.5,1.9,3.7,0.0,65.8,7.9
2023,목포,18.9,11.6,15.0,3.5,4.3,0.1,75.2,7.2
2023,문경,19.0,8.0,13.2,1.6,5.3,0.0,69.4,11.0
2023,밀양,21.0,9.3,14.7,1.0,5.1,0.0,62.4,11.7
2023,백령도,15.6,9.9,12.6,4.0,2.6,0.1,75.2,5.7
2023,보령,18.8,9.8,14.0,1.5,4.7,0.0,71.7,9.0
2023,보성군,20.5,10.1,14.7,2.6,5.5,0.0,75.6,10.4
2023,보은,18.7,7.2,12.6,1.2,5.1,0.0,74.1,11.5
2023,봉화,18.0,6.1,11.6,1.2,5.0,0.0,73.0,11.8
2023,부산,20.3,12.5,16.1,3.2,6.0,0.0,62.6,7.8
2023,부안,19.6,10.0,14.4,1.5,5.1,0.0,74.8,9.6
2023,부여,20.0,8.5,13.7,1.1,5.9,0.0,74.8,11.5
2023,북강릉,18.3,9.8,14.0,1.4,4.5,0.1,63.4,8.5
2023,북부산,21.1,10.8,15.7,2.0,5.6,0.0,68.2,10.3
2023,북창원,21.3,11.8,16.1,1.5,5.7,0.0,67.7,9.6
2023,북춘천,18.3,6.5,12.0,1.1,3.7,0.1,73.9,11.8
2023,산청,20.3,8.6,13.9,1.6,5.3,0.0,71.8,11.7
2023,상주,19.9,8.8,13.9,1.2,4.6,0.0,67.3,11.1
2023,서귀포,20.9,14.9,17.7,1.7,6.1,0.0,73.0,6.0
2023,서산,18.5,8.7,13.4,2.0,4.2,0.0,73.3,9.9
2023,서울,18.8,10.1,14.1,2.2,4.4,0.1,66.7,8.7
2023,서청주,19.2,7.6,13.2,1.6,4.8,0.0,71.3,11.6
2023,성산,20.4,13.3,16.8,3.0,5.8,0.0,75.7,7.1
2023,세종,18.8,8.5,13.3,1.4,5.8,0.0,68.8,10.3
2023,속초,17.9,9.6,13.1,1.8,4.8,0.0,63.1,8.3
2023,수원,18.7,8.8,13.4,1.9,3.9,0.1,69.4,9.9
2023,순창군,20.0,8.5,13.8,1.5,5.7,0.0,74.5,11.5
2023,순천,19.8,8.2,13.2,1.8,5.9,0.0,75.9,11.6
2023,안동,19.4,7.8,13.4,1.5,4.2,0.0,67.8,11.6
2023,양산시,21.8,11.3,15.7,2.0,6.0,0.0,68.1,10.5
2023,양평,18.7,8.3,13.1,1.2,4.2,0.0,69.0,10.4
2023,여수,19.2,12.6,15.3,3.6,5.3,0.0,68.4,6.6
2023,영광군,19.4,9.2,13.2,1.6,4.1,0.0,73.8,10.2
2023,영덕,19.1,9.5,14.1,2.4,3.4,0.0,67.3,9.6
2023,영월,19.1,7.1,12.2,1.0,4.1,0.0,68.6,11.9
2023,영주,18.4,6.9,12.4,2.2,6.1,0.0,71.4,11.5
2023,영천,20.1,8.4,13.9,1.6,3.6,0.0,68.8,11.7
2023,완도,20.3,11.9,14.7,1.9,4.7,0.0,73.6,8.4
2023,울릉도,17.9,12.0,14.7,3.9,4.2,0.6,74.2,5.9
2023,울산,19.9,10.9,15.1,2.2,4.5,0.0,63.9,9.0
2023,울진,18.7,9.9,14.1,2.4,3.6,0.0,66.1,8.8
2023,원주,18.7,8.7,13.2,1.0,3.8,0.0,63.8,10.0
2023,의령군,20.2,7.8,13.4,1.6,5.4,0.0,67.2,12.5
2023,의성,20.4,6.8,12.7,1.0,4.3,0.0,72.8,13.6
2023,이천,19.1,7.7,13.1,1.0,4.5,0.0,73.0,11.4
2023,인제,18.2,6.6,11.8,1.3,3.4,0.0,71.1,11.6
2023,인천,17.2,10.2,13.5,2.6,3.6,0.0,68.7,6.9
2023,임실,19.3,7.8,13.2,1.1,5.4,0.0,74.8,11.5
2023,장수,18.4,6.3,12.0,1.4,5.9,0.0,75.1,12.0
2023,장흥,20.4,9.1,14.2,1.5,5.4,0.0,76.7,11.3
2023,전주,20.2,10.4,14.9,1.5,5.4,0.0,68.0,9.8
2023,정선군,17.3,4.4,10.2,1.3,3.8,0.0,64.0,12.9
2023,정읍,19.7,9.6,14.3,1.5,5.3,0.0,70.1,10.1
2023,제주,21.1,14.5,16.5,3.2,4.0,0.1,68.6,6.6
2023,제천,17.7,5.8,11.5,1.2,4.8,0.0,74.5,11.9
2023,진도군,19.4,10.2,14.0,2.4,4.2,0.0,77.1,9.1
2023,진주,20.8,8.9,14.4,0.9,6.3,0.0,72.3,11.9
2023,창원,20.2,11.0,15.2,1.4,5.9,0.0,64.0,9.2
2023,천안,19.0,7.7,13.1,1.2,4.1,0.0,73.3,11.3
2023,철원,17.6,5.9,11.5,1.2,4.0,0.0,74.5,11.7
2023,청송군,19.6,5.8,12.1,1.6,4.1,0.0,69.3,13.7
2023,청주,19.9,10.5,14.9,1.3,4.9,0.0,60.6,9.4
2023,추풍령,18.4,7.4,12.8,2.3,4.3,0.0,67.0,11.0
2023,춘천,18.5,7.1,12.4,1.4,3.8,0.0,68.7,11.3
2023,충주,19.0,7.5,12.9,1.2,4.6,0.0,69.3,11.5
2023,태백,15.9,4.7,9.8,1.3,4.2,0.0,67.1,11.2
2023,통영,19.5,11.3,15.0,2.4,5.8,0.0,70.4,8.2
2023,파주,17.8,6.5,11.8,1.3,3.9,0.0,77.9,11.4
2023,포항,19.9,12.0,15.7,2.8,3.0,0.0,60.5,7.9
2023,함양군,20.7,7.7,13.2,1.5,4.7,0.0,69.3,13.0
2023,합천,21.0,8.9,14.4,0.8,4.9,0.0,68.6,12.1
2023,해남,20.1,9.6,13.9,1.9,4.5,0.0,78.0,10.5
2023,홍성,19.0,8.8,13.7,1.6,4.3,0.1,74.5,10.3
2023,홍천,18.5,7.0,12.1,0.9,3.8,0.0,70.9,11.5
2023,흑산도,17.7,11.9,14.4,5.2,3.7,0.0,81.5,5.8
2024,강릉,19.5,11.6,15.0,2.1,3.8,0.0,64.3,7.9
2024,강진군,21.2,11.2,14.8,1.6,5.0,0.0,77.6,10.0
2024,강화,17.7,8.5,12.7,1.9,3.7,0.0,74.3,9.2
2024,거제,20.3,12.2,16.0,1.4,6.0,0.0,71.9,8.1
2024,거창,20.1,8.1,13.6,1.2,3.3,0.0,74.3,12.0
2024,경주시,21.2,9.6,14.9,2.4,3.0,0.0,66.6,11.7
2024,고산(제주),20.0,15.0,17.3,6.1,3.9,0.0,76.8,5.0
2024,고창,19.2,9.6,14.0,2.6,3.2,0.0,76.5,9.7
2024,고창군,20.5,10.3,15.0,1.5,3.1,0.0,75.8,10.2
2024,고흥,21.4,11.0,15.9,1.6,4.6,0.0,74.8,10.4
2024,광양시,21.4,12.1,15.9,1.8,5.5,0.0,69.3,9.2
2024,광주,20.9,12.0,16.0,1.3,3.5,0.1,75.2,9.0
2024,구미,20.6,10.4,15.2,0.8,2.7,0.0,65.3,10.2
2024,군산,19.4,10.8,14.8,2.2,4.0,0.0,76.5,8.6
2024,금산,20.1,8.9,14.1,1.1,3.9,0.0,74.6,11.2
2024,김해시,21.7,12.0,15.8,1.6,4.7,0.0,69.2,9.7
2024,남원,20.5,9.9,14.8,1.7,3.9,0.0,73.7,10.7
2024,남해,20.5,12.2,15.7,1.6,6.5,0.0,71.4,8.3
2024,대관령,14.1,3.8,8.9,2.7,3.2,0.0,76.7,10.3
2024,대구,20.9,11.3,15.8,2.2,3.2,0.0,64.7,9.6
2024,대전,20.3,10.4,14.9,1.8,3.7,0.0,68.0,10.0
2024,동두천,19.2,8.4,12.6,1.1,3.2,0.0,73.3,10.9
2024,동해,19.1,10.9,14.1,2.2,3.5,0.0,67.8,8.2
2024,목포,19.5,12.7,15.8,3.4,3.5,0.0,77.2,6.8
2024,문경,19.4,9.1,14.0,1.3,3.8,0.0,72.1,10.3
2024,밀양,21.9,10.8,15.8,1.0,3.3,0.0,62.6,11.1
2024,백령도,16.4,10.6,13.2,3.9,2.3,0.1,70.7,5.8
2024,보령,19.8,10.6,14.8,1.9,4.1,0.0,74.5,9.2
2024,보성군,21.0,11.2,15.8,2.2,5.3,0.0,77.9,9.8
2024,보은,19.2,8.5,12.8,1.2,3.4,0.0,75.1,10.7
2024,봉화,18.3,7.3,12.2,1.2,3.4,0.0,73.9,11.0
2024,부산,20.9,13.4,16.7,3.3,5.3,0.0,66.1,7.5
2024,부안,20.2,11.0,15.1,1.4,3.2,0.0,76.3,9.2
2024,부여,20.3,9.5,14.4,1.0,3.6,0.0,77.0,10.9
2024,북강릉,18.5,10.3,14.2,1.2,4.0,0.3,67.0,8.2
2024,북부산,21.1,11.0,16.0,2.2,4.4,0.0,68.6,10.1
2024,북창원,22.1,12.8,16.9,1.5,5.1,0.0,68.1,9.3
2024,북춘천,19.1,7.5,12.9,1.2,3.2,0.1,71.1,11.6
2024,산청,20.8,9.8,14.8,1.5,4.1,0.0,73.7,11.0
2024,상주,20.1,9.9,14.6,1.2,4.0,0.0,70.0,10.2
2024,서귀포,21.7,15.5,18.4,1.9,6.1,0.0,71.6,6.2
2024,서산,19.2,9.6,14.1,2.0,4.9,0.0,75.3,9.5
2024,서울,19.5,11.0,14.9,2.2,3.6,0.2,65.9,8.6
2024,서청주,19.4,8.6,13.0,1.6,4.1,0.0,72.9,10.8
2024,성산,20.9,14.1,17.4,3.1,6.7,0.0,77.1,6.7
2024,세종,19.8,10.1,14.5,1.4,4.0,0.0,72.2,9.8
2024,속초,18.1,10.3,13.5,2.2,3.4,0.0,65.8,7.8
2024,수원,19.2,9.7,14.1,1.9,3.8,0.2,68.9,9.5
2024,순창군,20.6,9.7,14.7,1.6,3.8,0.0,72.1,10.8
2024,순천,19.7,8.9,13.9,1.7,5.4,0.0,78.1,10.8
2024,안동,20.0,9.1,14.2,1.5,2.9,0.0,70.9,10.9
2024,양산시,22.3,12.3,16.8,2.1,4.6,0.0,69.4,10.1
2024,양평,19.2,9.4,13.9,1.2,3.7,0.0,70.3,9.8
2024,여수,19.8,13.4,16.3,4.0,4.7,0.0,69.4,6.3
2024,영광군,20.0,10.6,15.0,1.6,2.9,0.0,76.3,9.4
2024,영덕,19.2,9.8,13.9,2.7,2.3,0.0,69.7,9.4
2024,영월,19.6,8.3,13.4,1.0,3.6,0.0,70.1,11.3
2024,영주,18.9,8.3,13.4,2.2,3.8,0.0,73.0,10.6
2024,영천,20.5,9.6,14.7,1.6,3.1,0.0,70.8,11.0
2024,완도,20.2,11.5,13.8,2.5,5.4,0.0,73.8,8.7
2024,울릉도,17.7,12.2,14.4,4.2,5.3,0.5,77.7,5.5
2024,울산,20.2,11.6,15.6,2.2,3.5,0.0,67.0,8.6
2024,울진,18.9,10.5,14.5,2.4,2.8,0.0,69.9,8.4
2024,원주,19.6,10.1,14.6,1.0,3.8,0.0,65.4,9.4
2024,의령군,21.9,9.7,15.3,1.6,4.1,0.0,72.8,12.2
2024,의성,20.9,8.1,14.0,1.0,2.7,0.0,74.7,12.8
2024,이천,19.7,8.8,13.9,1.0,4.7,0.0,74.7,10.9
2024,인제,18.6,7.6,12.5,1.5,3.0,0.0,72.1,11.0
2024,인천,18.0,11.1,14.3,2.6,2.9,0.1,69.9,7.0
2024,임실,19.9,9.0,14.0,1.1,3.9,0.0,77.0,10.9
2024,장수,18.8,7.6,12.9,1.3,4.5,0.0,77.2,11.2
2024,장흥,20.8,10.4,15.3,1.5,5.1,0.0,77.7,10.5
2024,전주,20.8,11.6,15.8,1.5,3.7,0.0,71.1,9.2
2024,정선군,19.4,6.6,12.0,1.3,3.5,0.0,67.3,12.9
2024,정읍,20.7,10.7,15.2,1.8,3.4,0.0,73.9,10.1
2024,제주,21.4,15.4,18.2,3.3,4.4,0.0,67.3,6.0
2024,제천,18.3,7.1,12.4,1.2,3.9,0.0,75.8,11.1
2024,진도군,20.0,11.4,15.5,2.3,4.7,0.0,78.5,8.6
2024,진주,21.3,9.8,15.1,0.8,5.1,0.0,74.4,11.4
2024,창원,21.1,12.3,16.2,1.7,5.5,0.0,67.4,8.7
2024,천안,19.4,8.8,13.6,1.2,4.0,0.0,74.5,10.6
2024,철원,18.4,6.9,12.3,1.3,4.5,0.0,74.9,11.5
2024,청송군,20.0,7.2,13.0,1.7,2.6,0.0,71.1,12.8
2024,청주,20.4,11.5,15.3,1.4,4.2,0.0,62.4,8.9
2024,추풍령,18.8,8.7,13.5,2.4,3.4,0.0,69.9,10.1
2024,춘천,18.8,7.8,12.5,1.3,3.3,0.0,67.4,11.0
2024,충주,19.6,8.8,13.8,1.3,4.0,0.0,70.8,10.8
2024,태백,16.6,5.6,10.7,1.4,3.6,0.0,70.0,11.0
2024,통영,20.6,12.3,15.5,1.6,5.3,0.0,70.8,8.3
2024,파주,18.3,7.0,11.9,1.3,4.0,0.0,77.3,11.3
2024,포항,20.1,12.7,16.2,2.8,3.0,0.0,63.9,7.4
2024,함양군,20.3,8.6,14.0,1.5,3.3,0.0,71.6,11.6
2024,합천,21.6,10.2,15.4,0.8,3.5,0.0,69.8,11.4
2024,해남,20.7,10.9,15.6,2.0,4.1,0.0,79.3,9.8
2024,홍성,19.5,9.8,14.4,1.6,4.7,0.0,77.5,9.8
2024,홍천,19.1,8.0,13.0,0.9,3.4,0.0,71.8,11.1
2024,흑산도,19.3,13.3,15.8,5.6,3.0,0.0,79.2,6.0
